"","comparison","ROI","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"636","errcon_v_con","rh_caudalmiddlefrontal",1545.0793848735,42.3836405351519,0.00246408343818039,"sig"
"836","uncon_v_con","rh_caudalmiddlefrontal",1545.0793848735,1489.34699893952,1.21863831997185e-286,"sig"
"137","uncon","rh_cuneus",39.0032327925263,NA,NA,NA
"237","uncon_v_timecon","rh_cuneus",78.1932596374601,39.1900268449338,0.00631378546971649,"sig"
"337","timecon_v_con","rh_cuneus",565.760710503433,487.567450865973,1.16310535889835e-90,"sig"
"537","uncon_v_errcon","rh_cuneus",523.765937056184,484.762704263658,4.48960342841562e-90,"sig"
"637","errcon_v_con","rh_cuneus",565.760710503433,41.9947734472486,0.00276992153229943,"sig"
"837","uncon_v_con","rh_cuneus",565.760710503433,526.757477710906,3.58415146358405e-86,"sig"
"138","uncon","rh_entorhinal",37.3126374455512,NA,NA,NA
"238","uncon_v_timecon","rh_entorhinal",72.4695073513284,35.1568699057771,0.0192845353300837,"sig"
"338","timecon_v_con","rh_entorhinal",422.339228354237,349.869721002908,4.73890705581857e-62,"sig"
"538","uncon_v_errcon","rh_entorhinal",384.965392530932,347.652755085381,1.3564020342642e-61,"sig"
"638","errcon_v_con","rh_entorhinal",422.339228354237,37.3738358233047,0.0105505829948579,"sig"
"838","uncon_v_con","rh_entorhinal",422.339228354237,385.026590908685,5.71550648177902e-58,"sig"
"139","uncon","rh_fusiform",35.8680380549358,NA,NA,NA
"239","uncon_v_timecon","rh_fusiform",52.2733239275654,16.4052858726296,0.691184131834521,"nonsig"
"339","timecon_v_con","rh_fusiform",371.881096293686,319.60777236612,7.86289306013183e-56,"sig"
"539","uncon_v_errcon","rh_fusiform",356.093850407126,320.22581235219,5.87324872522576e-56,"sig"
"639","errcon_v_con","rh_fusiform",371.881096293686,15.7872458865594,0.729732341380091,"nonsig"
"839","uncon_v_con","rh_fusiform",371.881096293686,336.01305823875,1.92109462199423e-48,"sig"
"140","uncon","rh_inferiorparietal",22.6097896120432,NA,NA,NA
"240","uncon_v_timecon","rh_inferiorparietal",56.2862560338411,33.6764664217978,0.0283983982506715,"sig"
"340","timecon_v_con","rh_inferiorparietal",2597.43800021873,2541.15174418489,0,"sig"
"540","uncon_v_errcon","rh_inferiorparietal",2556.02329121417,2533.41350160213,0,"sig"
"640","errcon_v_con","rh_inferiorparietal",2597.43800021873,41.4147090045531,0.00329409225605562,"sig"
"840","uncon_v_con","rh_inferiorparietal",2597.43800021873,2574.82821060668,0,"sig"
"141","uncon","rh_inferiortemporal",48.3466859166598,NA,NA,NA
"241","uncon_v_timecon","rh_inferiortemporal",74.239468014534,25.8927820978742,0.169382235043977,"nonsig"
"341","timecon_v_con","rh_inferiortemporal",1234.24601915534,1160.00655114081,2.66482576374054e-233,"sig"
"541","uncon_v_errcon","rh_inferiortemporal",1207.41697651061,1159.07029059395,4.22498053550251e-233,"sig"
"641","errcon_v_con","rh_inferiortemporal",1234.24601915534,26.8290426447331,0.140142633353773,"nonsig"
"841","uncon_v_con","rh_inferiortemporal",1234.24601915534,1185.89933323868,1.26355728932611e-222,"sig"
"142","uncon","rh_isthmuscingulate",92.2058291279532,NA,NA,NA
"242","uncon_v_timecon","rh_isthmuscingulate",141.672227491944,49.4663983639911,0.000263943510624639,"sig"
"342","timecon_v_con","rh_isthmuscingulate",1601.83289125719,1460.16066376525,1.39988650459233e-297,"sig"
"542","uncon_v_errcon","rh_isthmuscingulate",1560.70784209075,1468.5020129628,2.27523507889763e-299,"sig"
"642","errcon_v_con","rh_isthmuscingulate",1601.83289125719,41.1250491664389,0.00358989100041235,"sig"
"842","uncon_v_con","rh_isthmuscingulate",1601.83289125719,1509.62706212924,6.21676629340499e-291,"sig"
"143","uncon","rh_lateraloccipital",16.1121382174032,NA,NA,NA
"243","uncon_v_timecon","rh_lateraloccipital",41.567002918859,25.4548647014559,0.184579811917623,"nonsig"
"343","timecon_v_con","rh_lateraloccipital",1638.69443119623,1597.12742827737,0,"sig"
"543","uncon_v_errcon","rh_lateraloccipital",1614.22249843441,1598.110360217,0,"sig"
"643","errcon_v_con","rh_lateraloccipital",1638.69443119623,24.4719327618186,0.222384703553254,"nonsig"
"843","uncon_v_con","rh_lateraloccipital",1638.69443119623,1622.58229297882,7.24893256386986e-315,"sig"
"144","uncon","rh_lateralorbitofrontal",30.137058526601,NA,NA,NA
"244","uncon_v_timecon","rh_lateralorbitofrontal",52.1699888521168,22.0329303255157,0.338726430288144,"nonsig"
"344","timecon_v_con","rh_lateralorbitofrontal",197.519338609897,145.349349757781,4.86363068177476e-21,"sig"
"544","uncon_v_errcon","rh_lateralorbitofrontal",172.14058912859,142.003530601989,2.1079937635885e-20,"sig"
"644","errcon_v_con","rh_lateralorbitofrontal",197.519338609897,25.3787494813069,0.187323335454463,"nonsig"
"844","uncon_v_con","rh_lateralorbitofrontal",197.519338609897,167.382280083296,1.61866225249207e-17,"sig"
"145","uncon","rh_lingual",22.8547067347565,NA,NA,NA
"245","uncon_v_timecon","rh_lingual",57.3938773432836,34.5391706085271,0.0227005351075509,"sig"
"345","timecon_v_con","rh_lingual",927.375747030739,869.981869687456,1.91185326603833e-171,"sig"
"545","uncon_v_errcon","rh_lingual",892.166844239015,869.312137504259,2.65388414614987e-171,"sig"
"645","errcon_v_con","rh_lingual",927.375747030739,35.208902791724,0.0190194815640054,"sig"
"845","uncon_v_con","rh_lingual",927.375747030739,904.521040295983,9.36780390282576e-164,"sig"
"146","uncon","rh_medialorbitofrontal",26.8058815750496,NA,NA,NA
"246","uncon_v_timecon","rh_medialorbitofrontal",43.9411843477265,17.1353027726769,0.644171195553223,"nonsig"
"346","timecon_v_con","rh_medialorbitofrontal",197.339851725426,153.398667377699,1.40167124705095e-22,"sig"
"546","uncon_v_errcon","rh_medialorbitofrontal",181.356754705069,154.55087313002,8.41938068617518e-23,"sig"
"646","errcon_v_con","rh_medialorbitofrontal",197.339851725426,15.9830970203563,0.717672338062678,"nonsig"
"846","uncon_v_con","rh_medialorbitofrontal",197.339851725426,170.533970150376,4.74720952457737e-18,"sig"
"147","uncon","rh_middletemporal",60.8172721178349,NA,NA,NA
"247","uncon_v_timecon","rh_middletemporal",100.634186202325,39.8169140844897,0.00526844038849183,"sig"
